City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mogadishu,SO,80.31,broken clouds,2.04,45.34,Hotel Juba
4,Harper,LR,77.4,light rain,4.38,-7.72,Screensaver
9,Mahebourg,MU,73.4,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
10,Salalah,OM,73.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
18,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
21,Rikitea,PF,75.61,few clouds,-23.12,-134.97,Pension Maro'i
23,Faanui,PF,80.17,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
31,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
40,Ambon,ID,82.0,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
42,Busselton,AU,70.0,scattered clouds,-33.65,115.33,Observatory Guest House
44,Banjar,ID,87.8,scattered clouds,-8.19,114.97,The Hamsa Resort
47,Rajura,IN,78.89,clear sky,19.78,79.37,Hotel Shree Sai
48,Guanica,PR,73.0,broken clouds,17.97,-66.91,Copamarina Beach Resort & Spa
49,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
51,Maragogi,BR,76.33,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
52,Atuona,PF,77.54,scattered clouds,-9.8,-139.03,Villa Enata
53,Bayshore Gardens,US,75.0,clear sky,27.43,-82.59,Ramada by Wyndham Sarasota
54,Pa Sang,TH,82.0,few clouds,18.53,98.94,โรงแรม จามจุรี 99
59,Kavaratti,IN,81.36,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
60,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
62,Ca Mau,VN,87.73,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
67,Sao Filipe,CV,79.88,few clouds,14.9,-24.5,Tortuga B&B
74,Hithadhoo,MV,82.85,light rain,-0.6,73.08,Scoop Guest House
76,San Patricio,US,75.99,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
81,Corrente,BR,74.55,clear sky,-3.74,-43.34,Chapadinhense Hotel
82,Georgetown,MY,86.0,heavy intensity rain,5.41,100.34,Cititel Penang
88,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
94,Tabligbo,TG,80.6,few clouds,6.58,1.5,HÔTEL LA TOLÉRANCE
95,Manaus,BR,80.6,few clouds,-3.1,-60.02,Hotel do Largo
96,Victoria,HK,77.0,overcast clouds,22.29,114.16,Mini Hotel Central
103,Amalapuram,IN,80.6,scattered clouds,16.58,82.02,swayamprabha service apartments
107,Pathein,MM,83.1,clear sky,16.78,94.73,Pathein Hotel
114,Khipro,PK,81.37,clear sky,25.83,69.38,Raja Hotel
117,Butaritari,KI,81.75,broken clouds,3.07,172.79,Isles Sunset Lodge
121,Balikpapan,ID,84.2,moderate rain,-1.27,116.83,Grand Jatra Hotel Balikpapan
123,Bandarbeyla,SO,76.19,broken clouds,9.49,50.81,REER XOOSHLE GROUP
124,Arraial Do Cabo,BR,73.15,light rain,-22.97,-42.03,Pousada Porto Praia
