City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.42,19.23,57.99,86,74,6.78,broken clouds
1,Mogadishu,SO,2.04,45.34,80.31,77,65,8.34,broken clouds
2,Katsuura,JP,35.13,140.3,66.0,59,0,11.41,clear sky
3,Dikson,RU,73.51,80.55,5.68,95,100,24.72,overcast clouds
4,Harper,LR,4.38,-7.72,77.4,86,17,6.2,light rain
5,Bluff,NZ,-46.6,168.33,64.99,62,98,10.0,light rain
6,Punta Arenas,CL,-53.15,-70.92,39.2,80,40,24.16,scattered clouds
7,Chokurdakh,RU,70.63,147.92,-17.59,89,32,3.98,scattered clouds
8,Kingsport,US,36.55,-82.56,46.0,75,1,0.67,clear sky
9,Mahebourg,MU,-20.41,57.7,73.4,94,75,3.36,shower rain
10,Salalah,OM,17.02,54.09,73.4,69,0,5.82,clear sky
11,Okmulgee,US,35.62,-95.96,55.4,66,75,8.05,broken clouds
12,Saint George,US,37.1,-113.58,51.8,29,1,4.7,clear sky
13,Gayeri,BF,12.65,0.49,70.66,23,0,9.15,clear sky
14,Jamestown,US,42.1,-79.24,42.01,80,90,9.17,overcast clouds
15,Port Alfred,ZA,-33.59,26.89,67.57,73,6,22.39,clear sky
16,Chengde,CN,40.97,117.94,51.35,46,90,1.7,overcast clouds
17,Moen,NO,69.13,18.61,21.2,92,36,24.16,scattered clouds
18,Avarua,CK,-21.21,-159.78,78.8,69,45,5.82,scattered clouds
19,Raudeberg,NO,61.99,5.14,50.0,76,96,20.8,light intensity shower rain
20,New Norfolk,AU,-42.78,147.06,69.01,51,78,4.0,broken clouds
21,Rikitea,PF,-23.12,-134.97,75.61,83,19,10.98,few clouds
22,Bereda,ES,43.27,-7.54,53.01,89,94,3.0,overcast clouds
23,Faanui,PF,-16.48,-151.75,80.17,72,13,4.83,few clouds
24,Pangody,RU,65.85,74.49,-9.31,91,8,3.36,clear sky
25,Mount Vernon,US,40.91,-73.84,50.0,71,1,4.7,clear sky
26,Vaini,TO,-21.2,-175.2,82.4,74,20,8.05,few clouds
27,Qaanaaq,GL,77.48,-69.36,0.18,76,57,5.59,broken clouds
28,Katesh,TZ,-4.52,35.38,61.11,90,60,5.86,broken clouds
29,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,90,18.34,light snow
30,Abnub,EG,27.27,31.15,55.4,71,0,11.41,clear sky
31,Kapaa,US,22.08,-159.32,78.8,78,90,16.11,overcast clouds
32,Magdagachi,RU,53.45,125.8,23.31,96,100,2.86,overcast clouds
33,Husavik,IS,66.04,-17.34,28.4,86,90,12.48,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,41.0,90,20,20.8,few clouds
35,Dillon,US,34.42,-79.37,60.01,100,1,7.02,clear sky
36,Yellowknife,CA,62.46,-114.35,3.2,77,90,9.17,light snow
37,Talnakh,RU,69.49,88.4,-22.0,74,0,1.74,clear sky
38,Tiksi,RU,71.69,128.87,-6.18,92,96,3.29,overcast clouds
39,Roma,US,43.21,-75.46,44.6,75,90,3.36,light rain
40,Ambon,ID,-3.7,128.18,82.0,12,65,4.14,broken clouds
41,Puerto Ayora,EC,-0.74,-90.35,68.0,93,69,3.0,broken clouds
42,Busselton,AU,-33.65,115.33,70.0,52,28,19.48,scattered clouds
43,Coihaique,CL,-45.58,-72.07,48.2,83,0,6.93,clear sky
44,Banjar,ID,-8.19,114.97,87.8,70,40,11.41,scattered clouds
45,Dodoma,TZ,-6.17,35.74,69.8,83,75,11.41,broken clouds
46,Camacha,PT,33.08,-16.33,69.8,94,40,13.87,scattered clouds
47,Rajura,IN,19.78,79.37,78.89,55,0,4.68,clear sky
48,Guanica,PR,17.97,-66.91,73.0,91,54,7.27,broken clouds
49,Hilo,US,19.73,-155.09,75.2,83,90,4.7,overcast clouds
50,Saint-Augustin,CA,51.23,-58.65,33.48,83,78,3.53,broken clouds
51,Maragogi,BR,-9.01,-35.22,76.33,85,68,8.75,broken clouds
52,Atuona,PF,-9.8,-139.03,77.54,77,38,16.75,scattered clouds
53,Bayshore Gardens,US,27.43,-82.59,75.0,88,1,6.93,clear sky
54,Pa Sang,TH,18.53,98.94,82.0,61,20,5.82,few clouds
55,Hamilton,US,39.18,-84.53,39.2,80,1,3.36,clear sky
56,Palmer,US,42.16,-72.33,39.0,100,90,4.72,fog
57,Albany,US,42.6,-73.97,44.01,99,37,5.53,scattered clouds
58,Cape Town,ZA,-33.93,18.42,62.01,72,75,6.93,broken clouds
59,Kavaratti,IN,10.57,72.64,81.36,81,99,7.49,overcast clouds
60,Touros,BR,-5.2,-35.46,77.0,94,40,4.7,scattered clouds
61,Deputatskiy,RU,69.3,139.9,-13.04,88,0,1.83,clear sky
